www	w w w
gmail	g mail
google	google
nvidia	nvidia
hotmail	hotmail
outlook	outlook
yahoo	yahoo
aol	aol
gmx	gmx
msn	msn
live	live
yandex	yandex
orange	orange
wanadoo	wanadoo
web	web
comcast	comcast
mail	mail
developer	developer
drive	drive
cuda	cuda
early	early
access	access
program	program
docs	docs
image	image
photo	photo
photos	photos
file	file
