gmail	g mail
nvidia	n vidia
outlook	outlook
hotmail	hotmail
yahoo	yahoo
aol	aol
gmx	gmx
msn	msn
live	live
yandex	yandex
orange	orange
wanadoo	wanadoo
web	web
comcast	comcast

